word,language,year,frequency,is_synonym
example,en,1600,0.00011573125243558025,0
esempio,it,1877,0.0001797279642801186,0
esempio,it,1878,0.0001618313466451582,0
esempio,it,1879,0.00013764638259772255,0
esempio,it,1880,0.00015417858026012254,0
esempio,it,1881,0.0001605773833261992,0
esempio,it,1882,0.00015340674241315355,0
esempio,it,1883,0.00015389482052796666,0
esempio,it,1884,0.000150314348587699,0
esempio,it,1885,0.00015543131678441569,0
esempio,it,1886,0.00013728711536487026,0
esempio,it,1887,0.00013487204342066406,0
esempio,it,1888,0.00014710354443536744,0
esempio,it,1889,0.0001453813143541538,0
esempio,it,1890,0.00014295399239472317,0
esempio,it,1891,0.00014479995820693148,0
esempio,it,1892,0.00014713095117802055,0
esempio,it,1893,0.00013756412994325729,0
esempio,it,1894,0.0001396047354944585,0
esempio,it,1895,0.00013672097460926125,0
esempio,it,1876,0.0001717087415045171,0
esempio,it,1896,0.00014307912147160096,0
esempio,it,1875,0.00016105530551158154,0
esempio,it,1873,0.0001859375532831109,0
esempio,it,1854,0.00017660011349107663,0
esempio,it,1855,0.00018589673993574252,0
esempio,it,1856,0.0001812027093137658,0
esempio,it,1857,0.00018026413469041103,0
esempio,it,1858,0.0002051330923380501,0
esempio,it,1859,0.00017500369329725984,0
esempio,it,1860,0.00020949615350218664,0
esempio,it,1861,0.00014608568335461314,0
esempio,it,1862,0.00017338858361060083,0
esempio,it,1863,0.00017818492887045068,0
esempio,it,1864,0.00018635722938142862,0
esempio,it,1865,0.00016434056442449219,0
esempio,it,1866,0.00018021477467300429,0
esempio,it,1867,0.00017177313975480502,0
esempio,it,1868,0.00019925913659335492,0
esempio,it,1869,0.0001633064837847087,0
esempio,it,1870,0.0001838210457663081,0
esempio,it,1871,0.00018414216458495503,0
esempio,it,1872,0.0001642445284915084,0
esempio,it,1874,0.00018706130731516168,0
esempio,it,1853,0.0001804134813028213,0
esempio,it,1897,0.00014635780444249846,0
esempio,it,1899,0.00015502845883474947,0
esempio,it,1923,0.00017058841700645644,0
esempio,it,1924,0.00016689706598072007,0
esempio,it,1925,0.00017346165591902718,0
esempio,it,1926,0.00016431510459824494,0
esempio,it,1927,0.00016375395972545448,0
esempio,it,1928,0.0001606605848678555,0
esempio,it,1929,0.00015899941109864812,0
esempio,it,1930,0.00016452609406769625,0
esempio,it,1931,0.0001656793191386896,0
esempio,it,1932,0.00016204222356464015,0
esempio,it,1933,0.00015909382182144327,0
esempio,it,1934,0.00015823029912098718,0
esempio,it,1935,0.00016095555707806852,0
esempio,it,1936,0.00016482298053688282,0
esempio,it,1937,0.0001667824826654396,0
esempio,it,1938,0.00016690162022081623,0
esempio,it,1939,0.0001737333610094538,0
esempio,it,1940,0.00018186878628512204,0
esempio,it,1941,0.00018391787790505987,0
esempio,it,1922,0.00016190443966479506,0
esempio,it,1898,0.000150971030011382,0
esempio,it,1921,0.00017911021776573222,0
esempio,it,1919,0.0001674991651725577,0
esempio,it,1900,0.0001378274301759852,0
esempio,it,1901,0.00015905379731862013,0
esempio,it,1902,0.00015301744195994615,0
esempio,it,1903,0.00015091903276243102,0
esempio,it,1904,0.00015397830702568172,0
esempio,it,1905,0.0001564908417890365,0
esempio,it,1906,0.00015365921862553478,0
esempio,it,1907,0.00015556506050984353,0
esempio,it,1908,0.00015464294904177223,0
esempio,it,1909,0.00015103040857411543,0
esempio,it,1910,0.00015452285878758687,0
esempio,it,1911,0.00016535292877506436,0
esempio,it,1912,0.00015180071005715945,0
esempio,it,1913,0.00016025319425239104,0
esempio,it,1914,0.00015272685320155688,0
esempio,it,1915,0.00014622866706304194,0
esempio,it,1916,0.00016495611066180693,0
esempio,it,1917,0.00017663968672243513,0
esempio,it,1918,0.00017536416726215975,0
esempio,it,1920,0.00018013978882436277,0
esempio,it,1852,0.0001685135932880666,0
esempio,it,1851,0.00019253116261097603,0
esempio,it,1850,0.00018875045317656713,0
esempio,it,1784,0.00016834836865342595,0
esempio,it,1785,0.0001577390125770961,0
esempio,it,1786,0.00018437384574188087,0
esempio,it,1787,0.00015091859927451878,0
esempio,it,1788,0.0001538122409101561,0
esempio,it,1789,0.00016936763110919628,0
esempio,it,1790,0.00016315799384436502,0
esempio,it,1791,0.00014836673827689495,0
esempio,it,1792,0.0001754605058774672,0
esempio,it,1793,0.00016437222470244706,0
esempio,it,1794,0.00015715351999290306,0
esempio,it,1795,0.00016410245671139023,0
esempio,it,1796,0.00013259971012757887,0
esempio,it,1797,0.00016632094035085032,0
esempio,it,1798,0.0001570475607692856,0
esempio,it,1799,0.00018921700269203257,0
esempio,it,1800,0.00020359720110718627,0
esempio,it,1801,0.00017691224377358594,0
esempio,it,1802,0.00017163492682925607,0
esempio,it,1783,0.00015638127872108498,0
esempio,it,1803,0.0001779765000264888,0
esempio,it,1782,0.00019825558609465332,0
esempio,it,1780,0.0001665743576175771,0
esempio,it,1761,0.0001861140792129845,0
esempio,it,1762,0.000150878346047989,0
esempio,it,1763,0.0001292936891523766,0
esempio,it,1764,0.00018651667684821405,0
esempio,it,1765,0.00018754153386169037,0
esempio,it,1766,0.00015998124086991083,0
esempio,it,1767,0.0001796737744985677,0
esempio,it,1768,0.00018168722243672164,0
esempio,it,1769,0.00016889395752173186,0
esempio,it,1770,0.0001698213786376357,0
esempio,it,1771,0.00014612665047142315,0
esempio,it,1772,0.00016581859959963197,0
esempio,it,1773,0.00014655467277435719,0
esempio,it,1774,0.0001823467011234925,0
esempio,it,1775,0.00019712131462412685,0
esempio,it,1776,0.00016298473322962082,0
esempio,it,1777,0.00016487784679064532,0
esempio,it,1778,0.0001719430331590388,0
esempio,it,1779,0.0001862498821196823,0
esempio,it,1781,0.000183989522767547,0
esempio,it,1804,0.0001950314533587516,0
esempio,it,1805,0.00015272838828650492,0
esempio,it,1806,0.00012031274883383958,0
esempio,it,1831,0.00018539453671184702,0
esempio,it,1832,0.00016850409673452305,0
esempio,it,1833,0.0001605424788522214,0
esempio,it,1834,0.00015949362546052726,0
esempio,it,1835,0.00015959897666562028,0
esempio,it,1836,0.00017814010870287333,0
esempio,it,1837,0.0001906821933870262,0
esempio,it,1838,0.00016664737273686114,0
esempio,it,1839,0.00016849648079642066,0
esempio,it,1840,0.0001637587185996381,0
esempio,it,1841,0.00018425458392812288,0
esempio,it,1842,0.00018215907765983808,0
esempio,it,1843,0.00019103340855508577,0
esempio,it,1844,0.00019858085556734295,0
esempio,it,1845,0.00017345488276987453,0
esempio,it,1846,0.00018703181386392487,0
esempio,it,1847,0.00019118891259495285,0
esempio,it,1848,0.00018963594857268617,0
esempio,it,1849,0.0001669297614057541,0
esempio,it,1830,0.00015938103657076041,0
esempio,it,1829,0.00016002911331725045,0
esempio,it,1828,0.00015655860034047286,0
esempio,it,1827,0.00016648925719664476,0
esempio,it,1807,0.00016671076724605882,0
esempio,it,1808,0.0001872400119964368,0
esempio,it,1809,0.00018701790259001427,0
esempio,it,1810,0.00015620165015395315,0
esempio,it,1811,0.00013260762955269456,0
